id,reply_id,reply_content,reply_date
2864052,ㅇㅇ(183.101),아닌데 결혼하고 자식도 있던데,06.13 11:47:35
2864051,루도그담당(114.202),맞을래,06.12 23:56:31
2864051,ㅇㅇ,웹 서버 네트워크 타고 들어오고 탐지 분석,06.12 23:57:26
2864051,프갤러1(211.38),해킹배움,06.13 02:36:51
2864047,ㅇㅇ,로그 2일이나 지났는데,06.12 23:46:19
2864047,ㅇㅇ(122.45),ㅋㅋ 개븅쉰기업,06.12 23:51:54
2864047,ㅇㅇ(122.45),한녀식 기싸움하다가 지지침,06.12 23:52:07
2864047,ㅇㅇ,노24가 돼쁘버렸노,06.13 01:14:12
2864043,ㅇㅇ(211.235),에평 ㅋㅋㅋ,06.12 23:28:24
2864043,ㅇㅇ,스스로 되면 대기업갔지,06.12 23:44:18
2864043,ㅇㅇ(61.255),같은 인간인데 왜 사고방식이 다를까 유전이 아닐까?,06.12 23:49:13
2864043,프갤러1(1.213),뒷세대가 알아서 하겠지,06.13 00:19:01
2864042,슈퍼막코더(110.132),"캬 안철수님 드립같노 이기""이럴수도 있고 또는 아닐수도 있습니다""개발의 끝을 달리는 사람들은 다 이리 되는거노?",06.12 23:36:53
2864042,ㅆㅇㅆ(124.216),제가 뭔 개발의 끝이에요 안철수님 발끝에도 못미치는디,06.12 23:38:21
2864042,루도그담당(114.202),대중이다 대중이,06.12 23:46:42
2864042,익명의따당이,src랑 utils는 있을만 한뎅 ㅇㅅㅇ,06.13 09:07:12
2864038,발명도둑잡기,"재밌다 // ""도둑은 집을 떠나며 주인을 욕한다"" - 러시아 속담",06.12 22:57:07
2864038,ㅇㅇ(222.100),재밌는만큼 비전공자도 개나소나하는 허벌이지,06.12 23:36:50
2864038,hrin(220.120),저는 it보다는 this 공부가 더 재밌는듯 ㅇㅅㅇ  - dc App,06.12 23:45:10
2864037,ㅇㅇ,파이썬을 계산기처럼씀,06.12 22:46:50
2864037,김민지(180.226),데분도 코딩하는데?,06.12 22:56:07
2864037,프갤러1(106.101),코딩 많이 함,06.12 23:10:45
2864037,글쓴 프갤러(121.175),데이터분석가도 수학 잘해야해?  - dc App,06.12 23:11:09
2864035,헤르 미온느,휘~ 냄시.. ㅇㅅㅇ,06.13 08:22:07
2864034,발명도둑잡기,"보는데 // ""도둑은 집을 떠나며 주인을 욕한다"" - 러시아 속담",06.12 22:57:53
2864033,류류(118.235),떨어지나요 ㅇㅅㅇ,06.12 22:49:28
2864033,슈퍼막코더(126.166),애니메이션 만들어라 이기,06.12 23:38:10
2864033,루도그담당(114.202),필기 말하는거노,06.12 23:50:57
2864033,공기역학,silgi,06.13 01:47:20
2864033,헤르 미온느,디씨 주작기/해킹 차단기..ㅇㅅㅇ,06.13 08:23:05
2864033,공기역학,ㅇㅅㅇ,06.13 09:47:19
2864032,ㅇㅇ,풀스택이네,06.12 22:32:47
2864032,ㅇㅇ(175.197),결국 클라우드랑 자바코드로 처리하는건데?Vue나 리액트는 몰라요,06.12 22:46:47
2864032,ㅇㅇ,프론트는 ai나 검색해서 대충구현되잖아,06.12 22:53:51
2864029,밀우,그정도 수준되는 애들만 남은거야 지금보안은,06.12 22:30:48
2864026,김민지(180.226),ㄹㅇ?,06.12 22:26:55
2864026,밀우,ㅇㅇ 고려대 대학원 유묭함,06.12 22:27:15
2864026,김민지(180.226),ㄱㅅㄱㅅ,06.12 22:27:43
2864025,발명도둑잡기,"인디게임개발자 갤러리로 // ""도둑은 집을 떠나며 주인을 욕한다"" - 러시아 속담",06.12 23:01:49
2864025,글쓴 프갤러(211.36),거기 공지에 이런 글 쓰면 삭제라는데 간단한 조언이라도 받을 수 있을까요...제발 부탁드립니다  - dc App,06.12 23:34:20
2864024,김민지(180.226),자바 2명이요~,06.12 22:29:52
2864023,슈퍼막코더(110.132),게임개발자급이노 이기,06.12 22:22:16
2864023,밀우,근데 ctf하다보면 재미는 있음 ㅋㅋ 퍼즐푸는거같아서 암호학도 솔직히 수학좋아해서 보안깊게팟으면 했을듯,06.12 22:25:16
2864023,슈퍼막코더(110.132),@밀우 캬 쌉능력자 게이노난 내가 쓴 코드도 다시보기 싫던데 이기,06.12 22:44:34
2864020,ㅇㅇ,학과때 안배우는거지 나중에 다 배워야됨,06.12 22:18:54
2864020,밀우,코딩배운애는 이미 보안탈출했음,06.12 22:21:18
2864020,ㅇㅇ(175.197),보안을 코딩적으로도 해결하는데요,06.12 23:10:10
2864018,ㅇㅇ,학과가 존나 적어서,06.12 22:15:59
2864018,밀우,돈이 좆같이짜잖아,06.12 22:16:24
2864015,슈퍼막코더(110.132),맞다 이기그러나 사람이 어렵다,06.12 22:16:34
2864015,ㅆㅇㅆ(124.216),ㄹㅇ...,06.12 22:17:56
2864014,ㅇㅇ,그정돈 아니든디...,06.12 21:48:18
2864012,류도그담당(114.202),괜히 IT 업계중에 하방 제일 많이 박살난게 아님,06.12 21:43:24
2864012,ㅆㅇㅆ(124.216),ㄹㅇ,06.12 21:45:19
2864012,슈퍼막코더(126.166),잘했다 이기웹은 취업을 해야하는데 게이랑은 안맞는다,06.12 21:45:29
2864012,ㅆㅇㅆ(124.216),그러게요,06.12 21:48:27
